"FAWN Station","Period","60cm T avg (F)","60cm T min (F)","60cm T max (F)","N (# obs)"
"Alachua","1 Jan 2018","39.06","33.91","48.81","96"
"Alachua","2 Jan 2018","34.67","29.53","41.52","96"
"Alachua","3 Jan 2018","33.29","27.28","39.05","96"
"Alachua","4 Jan 2018","34.27","23.58","49.95","96"
"Alachua","5 Jan 2018","34.16","22.83","50.59","96"
"Alachua","6 Jan 2018","37.72","25.43","53.85","96"
"Alachua","7 Jan 2018","42.92","28.25","59.63","96"
"Alachua","8 Jan 2018","52.29","38.33","70.56","96"
"Alachua","9 Jan 2018","64.00","57.43","77.25","96"
"Alachua","10 Jan 2018","64.99","60.44","69.60","96"
"Alachua","11 Jan 2018","68.36","63.37","78.08","96"
"Alachua","12 Jan 2018","64.03","58.41","68.92","96"
"Alachua","13 Jan 2018","46.51","32.51","58.14","96"
"Alachua","14 Jan 2018","40.14","28.76","55.60","96"
"Alachua","15 Jan 2018","42.94","30.67","59.52","96"
"Alachua","16 Jan 2018","46.72","30.16","68.49","96"
"Alachua","17 Jan 2018","41.08","27.51","53.02","96"
"Alachua","18 Jan 2018","33.44","21.56","52.29","96"
"Alachua","19 Jan 2018","40.48","23.29","63.99","96"
"Alachua","20 Jan 2018","45.59","28.43","64.40","96"
"Alachua","21 Jan 2018","57.33","39.58","74.73","96"
"Alachua","22 Jan 2018","63.37","47.48","79.65","96"
"Alachua","23 Jan 2018","63.76","45.50","74.01","96"
"Alachua","24 Jan 2018","51.67","37.30","66.00","96"
"Alachua","25 Jan 2018","50.64","40.42","62.37","96"
"Alachua","26 Jan 2018","54.92","39.39","70.03","96"
"Alachua","27 Jan 2018","61.53","52.45","73.42","96"
"Alachua","28 Jan 2018","63.94","52.88","76.23","96"
"Alachua","29 Jan 2018","60.21","51.30","66.74","96"
"Alachua","30 Jan 2018","46.79","34.96","57.74","96"
"Alachua","31 Jan 2018","46.92","30.99","64.85","96"
"Alachua","1 Feb 2018","55.10","39.08","74.25","96"
"Alachua","2 Feb 2018","53.83","40.08","66.72","96"
"Alachua","3 Feb 2018","51.19","38.87","64.09","96"
"Alachua","4 Feb 2018","61.32","48.81","70.75","96"
"Alachua","5 Feb 2018","59.10","49.48","73.09","96"
"Alachua","6 Feb 2018","60.08","42.67","77.97","96"
"Alachua","7 Feb 2018","67.82","60.94","78.91","96"
"Alachua","8 Feb 2018","62.74","54.28","68.70","96"
"Alachua","9 Feb 2018","65.04","53.49","80.58","96"
"Alachua","10 Feb 2018","69.86","63.45","82.27","96"
"Alachua","11 Feb 2018","72.15","65.25","84.11","96"
"Alachua","12 Feb 2018","68.82","64.00","77.14","96"
"Alachua","13 Feb 2018","62.60","54.81","67.89","96"
"Alachua","14 Feb 2018","59.38","54.12","71.74","96"
"Alachua","15 Feb 2018","66.43","55.49","81.03","96"
"Alachua","16 Feb 2018","68.33","61.70","80.29","96"
"Alachua","17 Feb 2018","69.77","63.86","81.93","96"
"Alachua","18 Feb 2018","71.54","61.09","85.14","96"
"Alachua","19 Feb 2018","71.70","63.95","83.70","96"
"Alachua","20 Feb 2018","72.58","61.16","84.97","96"
"Alachua","21 Feb 2018","74.52","65.28","86.92","96"
"Alachua","22 Feb 2018","71.55","59.22","84.07","96"
"Alachua","23 Feb 2018","71.22","59.95","87.22","96"
"Alachua","24 Feb 2018","71.32","60.39","85.42","96"
"Alachua","25 Feb 2018","72.28","62.15","85.66","96"
"Alachua","26 Feb 2018","68.76","58.30","82.74","96"
"Alachua","27 Feb 2018","64.61","57.90","75.76","96"
"Alachua","28 Feb 2018","67.43","54.66","81.41","96"
"Alachua","1 Mar 2018","72.25","64.85","81.73","96"
"Alachua","2 Mar 2018","64.64","50.41","77.59","96"
"Alachua","3 Mar 2018","54.37","40.78","71.44","96"
"Alachua","4 Mar 2018","50.78","35.19","69.15","96"
"Alachua","5 Mar 2018","52.94","34.93","74.39","96"
"Alachua","6 Mar 2018","58.87","39.42","76.93","96"
"Alachua","7 Mar 2018","59.95","43.05","69.21","96"
"Alachua","8 Mar 2018","46.76","34.37","61.25","96"
"Alachua","9 Mar 2018","48.96","29.29","70.45","96"
"Alachua","10 Mar 2018","52.99","34.06","70.81","96"
"Alachua","11 Mar 2018","63.08","43.72","80.58","96"
"Alachua","12 Mar 2018","58.21","37.29","66.96","96"
"Alachua","13 Mar 2018","47.65","29.82","66.07","96"
"Alachua","14 Mar 2018","47.92","31.96","65.55","96"
"Alachua","15 Mar 2018","48.65","26.66","70.81","96"
"Alachua","16 Mar 2018","56.36","32.88","78.24","96"
"Alachua","17 Mar 2018","63.37","43.96","82.92","96"
"Alachua","18 Mar 2018","69.43","57.42","84.42","96"
"Alachua","19 Mar 2018","64.78","61.63","71.06","96"
"Alachua","20 Mar 2018","68.43","59.04","74.97","96"
"Alachua","21 Mar 2018","56.71","47.75","65.97","96"
"Alachua","22 Mar 2018","51.13","36.48","66.85","96"
"Alachua","23 Mar 2018","52.43","34.68","71.31","96"
"Alachua","24 Mar 2018","60.22","42.13","79.43","96"
"Alachua","25 Mar 2018","67.06","56.26","79.83","96"
"Alachua","26 Mar 2018","58.13","56.93","61.12","96"
"Alachua","27 Mar 2018","65.19","57.49","76.37","96"
"Alachua","28 Mar 2018","66.65","50.77","81.70","96"
"Alachua","29 Mar 2018","69.54","59.59","82.63","96"
"Alachua","30 Mar 2018","64.28","58.89","76.64","96"
"Alachua","31 Mar 2018","62.83","53.91","76.14","96"
"Alachua","1 Apr 2018","66.02","57.16","82.74","96"
"Alachua","2 Apr 2018","68.76","55.00","85.77","96"
"Alachua","3 Apr 2018","68.67","56.35","86.27","96"
"Alachua","4 Apr 2018","68.00","59.45","81.79","96"
"Alachua","5 Apr 2018","60.93","44.76","76.64","96"
"Alachua","6 Apr 2018","66.58","49.55","84.51","96"
"Alachua","7 Apr 2018","66.63","56.59","76.24","96"
"Alachua","8 Apr 2018","61.67","56.14","65.80","96"
"Alachua","9 Apr 2018","65.81","56.82","80.40","96"
"Alachua","10 Apr 2018","59.20","54.77","62.29","96"
"Alachua","11 Apr 2018","60.61","52.07","75.15","96"
"Alachua","12 Apr 2018","64.06","47.84","79.05","96"
"Alachua","13 Apr 2018","69.82","56.93","83.98","96"
"Alachua","14 Apr 2018","73.67","63.63","86.32","96"
"Alachua","15 Apr 2018","68.08","57.22","79.70","96"
"Alachua","16 Apr 2018","56.72","46.33","68.85","96"
"Alachua","17 Apr 2018","59.96","41.79","77.14","96"
"Alachua","18 Apr 2018","66.62","46.58","85.26","96"
"Alachua","19 Apr 2018","69.19","54.88","82.67","96"
"Alachua","20 Apr 2018","63.67","58.30","70.07","96"
"Alachua","21 Apr 2018","68.70","59.74","78.13","96"
"Alachua","22 Apr 2018","70.93","64.58","79.57","96"
"Alachua","23 Apr 2018","74.25","68.86","84.67","96"
