"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00090010","ABBEVILLE, GA US","1990-03-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-03","0.03",,
"USC00090010","ABBEVILLE, GA US","1990-03-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-17","0.47",,
"USC00090010","ABBEVILLE, GA US","1990-03-18","1.22",,
"USC00090010","ABBEVILLE, GA US","1990-03-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-03-30","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-03-31","0.58",,
"USC00090010","ABBEVILLE, GA US","1990-04-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-02","0.08",,
"USC00090010","ABBEVILLE, GA US","1990-04-03","0.59",,
"USC00090010","ABBEVILLE, GA US","1990-04-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-07","0.88",,
"USC00090010","ABBEVILLE, GA US","1990-04-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-10","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-11","0.36",,
"USC00090010","ABBEVILLE, GA US","1990-04-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-04-28","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-04-29","0.20",,
"USC00090010","ABBEVILLE, GA US","1990-04-30","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-06","0.05",,
"USC00090010","ABBEVILLE, GA US","1990-05-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-10","0.64",,
"USC00090010","ABBEVILLE, GA US","1990-05-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-18","0.03",,
"USC00090010","ABBEVILLE, GA US","1990-05-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-22","0.52",,
"USC00090010","ABBEVILLE, GA US","1990-05-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-28","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-05-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-30","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-05-31","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-03","1.23",,
"USC00090010","ABBEVILLE, GA US","1990-06-04","0.12",,
"USC00090010","ABBEVILLE, GA US","1990-06-05","0.39",,
"USC00090010","ABBEVILLE, GA US","1990-06-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-08","0.75",,
"USC00090010","ABBEVILLE, GA US","1990-06-09","1.11",,
"USC00090010","ABBEVILLE, GA US","1990-06-10","0.14",,
"USC00090010","ABBEVILLE, GA US","1990-06-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-16","0.58",,
"USC00090010","ABBEVILLE, GA US","1990-06-17","0.40",,
"USC00090010","ABBEVILLE, GA US","1990-06-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-24","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-06-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-27","0.00",,
