"","wperiod","Decade","avgprop","wperiodnew"
"1",1,"7",0.0754055468341183,1
"2",2,"7",0.05093257083053,2
"3",3,"7",0.0530883232413845,3
"4",4,"7",0.0628815628815629,4
"5",5,"7",0.0917364381650096,5
"6",6,"7",0.0506098426716674,6
"7",7,"7",0.0412423027819186,7
"8",8,"7",0.119609801129909,8
"9",9,"7",0.0793147303876596,9
"10",10,"7",0.067319597011737,10
"11",11,"7",0.0542318575781961,11
"12",12,"7",0.0903875836048705,12
"13",13,"7",0.158668117596689,13
"14",14,"7",0.160922740744892,14
"15",15,"7",0.0884753677336095,15
"16",16,"7",0.0702686957024724,16
"17",17,"7",0.1069176798717,17
"18",18,"7",0.130491120601011,18
"19",19,"7",0.0985162273623812,19
"20",20,"7",0.196093543208928,20
"21",21,"7",0.187324641170795,21
"22",22,"7",0.242685565350401,22
"23",23,"7",0.260142613664285,23
"24",24,"7",0.307451737902866,24
"25",25,"7",0.247468939115335,25
"26",26,"7",0.425580479872743,26
"27",27,"7",0.320600574912826,27
"28",28,"7",0.423376359782987,28
"29",29,"7",0.357941573805895,29
"30",30,"7",0.365672281577429,30
"31",31,"7",0.443594127155689,31
"32",32,"7",0.378696002999409,32
"33",33,"7",0.337827549127859,33
"34",34,"7",0.326271574143091,34
"35",35,"7",0.321681325390117,35
"36",36,"7",0.19366391527025,36
"37",37,"7",0.143402785177187,37
"38",38,"7",0.179904693632877,38
"39",39,"7",0.10202427124696,39
"40",40,"7",0.123009164217955,40
"41",41,"7",0.0870597351366582,41
"42",42,"7",0.0622821317876263,42
"43",43,"7",0.0365689865689866,43
"44",44,"7",0.0308302808302808,44
"45",45,"7",0.0240032403493942,45
"46",46,"7",0.051088778706749,46
"47",47,"7",0.0654103357319259,47
"48",48,"7",0.0710034013605442,48
"49",49,"7",0.0423462119890691,49
"50",50,"7",0.0577348246991104,50
"51",51,"7",0.0686169980812838,51
"52",52,"7",0.0853865050293622,52
"53",1,"7",0.0754055468341183,53
"54",2,"7",0.05093257083053,54
"55",3,"7",0.0530883232413845,55
"56",4,"7",0.0628815628815629,56
"57",5,"7",0.0917364381650096,57
"58",6,"7",0.0506098426716674,58
"59",7,"7",0.0412423027819186,59
"60",8,"7",0.119609801129909,60
"61",9,"7",0.0793147303876596,61
"62",10,"7",0.067319597011737,62
"63",11,"7",0.0542318575781961,63
"64",12,"7",0.0903875836048705,64
"65",13,"7",0.158668117596689,65
"66",14,"7",0.160922740744892,66
"67",15,"7",0.0884753677336095,67
"68",16,"7",0.0702686957024724,68
"69",17,"7",0.1069176798717,69
"70",18,"7",0.130491120601011,70
"71",19,"7",0.0985162273623812,71
"72",20,"7",0.196093543208928,72
"73",21,"7",0.187324641170795,73
"74",22,"7",0.242685565350401,74
"75",23,"7",0.260142613664285,75
"76",24,"7",0.307451737902866,76
"77",25,"7",0.247468939115335,77
"78",26,"7",0.425580479872743,78
"79",27,"7",0.320600574912826,79
"80",28,"7",0.423376359782987,80
"81",29,"7",0.357941573805895,81
"82",30,"7",0.365672281577429,82
"83",31,"7",0.443594127155689,83
"84",32,"7",0.378696002999409,84
"85",33,"7",0.337827549127859,85
"86",34,"7",0.326271574143091,86
"87",35,"7",0.321681325390117,87
"88",36,"7",0.19366391527025,88
"89",37,"7",0.143402785177187,89
"90",38,"7",0.179904693632877,90
"91",39,"7",0.10202427124696,91
"92",40,"7",0.123009164217955,92
"93",41,"7",0.0870597351366582,93
"94",42,"7",0.0622821317876263,94
"95",43,"7",0.0365689865689866,95
"96",44,"7",0.0308302808302808,96
"97",45,"7",0.0240032403493942,97
"98",46,"7",0.051088778706749,98
"99",47,"7",0.0654103357319259,99
"100",48,"7",0.0710034013605442,100
"101",49,"7",0.0423462119890691,101
"102",50,"7",0.0577348246991104,102
"103",51,"7",0.0686169980812838,103
"104",52,"7",0.0853865050293622,104
